"filename", "language", "JavaScript", "XML", "JSON", "JSON with Comments", "Markdown", "JavaScript JSX", "TypeScript", "CSS", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\politica-de-confidentialitate\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\politica-de-cookies\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\politica-de-livrare\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\politica-de-retur\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 209, 0, 0, 0, 0, 0, 13, 222
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\resetare-parola\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 8, 101
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\sitemap.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\termeni-si-conditii\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"c:\Users\Robert Isaic\Desktop\doifrati-main\app\vezi-factura\[orderId]\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 7, 21
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\LICENSE.md", "Markdown", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 15, 50
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\README.md", "Markdown", 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 28, 61
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\ckeditor.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 4, 1, 39
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\ckeditor.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 6
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\af.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\ar.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\ast.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\az.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\bg.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\bn.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\bs.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\ca.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\cs.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\da.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\de-ch.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\de.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\el.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\en-au.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\en-gb.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\eo.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\es-co.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\es.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\et.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\eu.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\fa.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\fi.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\fr.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\gl.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\gu.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\he.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\hi.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\hr.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\hu.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\hy.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\id.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\it.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\ja.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\jv.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\km.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\kn.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\ko.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\ku.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\lt.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\lv.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\ms.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\nb.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\ne.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\nl.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\no.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\oc.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Robert Isaic\Desktop\doifrati-main\ckeditor5-cb\build\translations\pl.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
